fen,type,wdl,dtz,num_pieces,turn
6N1/8/8/8/1k1Pb3/4K2R/8/8 w - - 0 1,R+N+P vs k+b,2,1,6,1
8/8/8/8/8/8/3K3k/8 b - - 0 1,K vs k,0,0,2,0
8/8/4K3/2k5/8/8/8/1b6 b - - 0 1,K vs k+b,0,0,3,0
6K1/8/3Q4/3N4/8/3r4/1k3N2/8 w - - 0 1,Q+2N vs k+r,2,1,6,1
8/8/4R3/8/6K1/8/8/B1k5 b - - 0 1,R+B vs k,-2,-12,4,0
8/K7/8/8/1k6/8/8/8 w - - 0 1,K vs k,0,0,2,1
6k1/8/4b3/8/8/3r4/4K3/8 b - - 0 1,K vs k+r+b,2,17,4,0
5r2/8/7K/8/3k4/8/8/8 w - - 0 1,K vs k+r,-2,-18,3,1
6B1/8/5R2/1K6/8/8/8/4k3 b - - 0 1,R+B vs k,-2,-12,4,0
8/k7/7K/8/8/8/8/N7 w - - 0 1,N vs k,0,0,3,1
8/5n2/7K/1Rk5/8/8/8/8 b - - 0 1,R vs k+n,0,0,4,0
8/8/5n2/8/k7/2K5/8/8 b - - 0 1,K vs k+n,0,0,3,0
4Kr2/8/8/8/8/8/3k4/8 w - - 0 1,K vs k+r,0,0,3,1
8/2k5/7K/8/8/8/7p/R6q b - - 0 1,R vs k+q+p,2,1,5,0
6p1/8/3K4/8/4k3/Q7/8/2n5 b - - 0 1,Q vs k+n+p,-2,-6,5,0
8/6K1/6k1/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/PK6/8/k2b4/5P2/8 w - - 0 1,2P vs k+b,0,0,5,1
4K3/8/8/2n5/7n/8/7k/8 w - - 0 1,K vs k+2n,0,0,4,1
k7/3B4/8/8/4N1K1/8/8/8 w - - 0 1,B+N vs k,2,24,4,1
6K1/8/8/3k4/4b3/8/8/8 w - - 0 1,K vs k+b,0,0,3,1
8/1K3r2/7k/7N/8/8/8/8 w - - 0 1,N vs k+r,-2,-1,4,1
6kp/4q3/8/8/8/2K5/8/8 b - - 0 1,K vs k+q+p,2,1,4,0
8/4k3/2q5/4p3/8/8/5K2/8 b - - 0 1,K vs k+q+p,2,1,4,0
8/8/7k/4N3/2n5/8/1K5B/8 w - - 0 1,B+N vs k+n,2,1,5,1
8/8/8/5k2/8/7K/2rr4/8 w - - 0 1,K vs k+2r,-2,-4,4,1
8/1n5k/8/4N3/8/8/8/6K1 w - - 0 1,N vs k+n,0,0,4,1
7b/8/8/4K3/8/4k3/8/8 w - - 0 1,K vs k+b,0,0,3,1
4b3/3k4/8/8/8/8/7K/8 w - - 0 1,K vs k+b,0,0,3,1
6K1/7R/8/8/8/4k3/8/8 b - - 0 1,R vs k,-2,-30,3,0
5k2/8/7b/7K/8/8/B7/8 b - - 0 1,B vs k+b,0,0,4,0
8/8/8/2K2n2/8/8/8/kp6 w - - 0 1,K vs k+n+p,-2,-8,4,1
8/8/K7/3k4/5P2/8/8/1P3p2 b - - 0 1,2P vs k+p,2,2,5,0
6k1/8/2K5/8/8/2b5/B7/8 b - - 0 1,B vs k+b,0,0,4,0
8/3p4/8/2q5/Kp6/8/4k3/8 w - - 0 1,K vs k+q+2p,-2,-2,5,1
8/8/7k/4N3/8/3n4/R5K1/8 b - - 0 1,R+N vs k+n,0,0,5,0
8/8/8/k6K/8/8/8/6Q1 b - - 0 1,Q vs k,-2,-18,3,0
8/4p3/8/3p4/8/4N3/8/K2k4 b - - 0 1,N vs k+2p,0,0,5,0
1n6/8/8/3K4/kQ6/8/8/8 b - - 0 1,Q vs k+n,0,0,4,0
2K5/6Q1/8/k7/3p4/8/7N/2B5 w - - 0 1,Q+B+N vs k+p,2,1,6,1
8/8/8/2K5/8/8/2r4k/5r2 w - - 0 1,K vs k+2r,-2,-6,4,1
2k5/8/4R2B/1K6/8/6B1/8/8 b - - 0 1,R+2B vs k,-2,-8,5,0
2K5/8/8/8/5b2/3k2B1/8/8 w - - 0 1,B vs k+b,0,0,4,1
1k6/8/8/K7/8/8/7q/6q1 w - - 0 1,K vs k+2q,-2,-4,4,1
3Q4/8/3k4/8/K1Q5/1r6/8/8 b - - 0 1,2Q vs k+r,-2,-2,5,0
8/kNN5/8/5r2/8/8/8/6K1 w - - 0 1,2N vs k+r,0,0,5,1
8/8/5q2/8/8/4P3/N6K/4k3 w - - 0 1,N+P vs k+q,-2,-4,5,1
8/6K1/4k3/3N4/8/2r5/8/8 w - - 0 1,N vs k+r,0,0,4,1
5K2/8/5bk1/8/8/8/8/8 b - - 0 1,K vs k+b,0,0,3,0
8/7q/1k6/1K6/1R6/8/8/3q4 b - - 0 1,R vs k+2q,2,3,5,0
5k2/8/8/8/5K2/5n2/8/8 b - - 0 1,K vs k+n,0,0,3,0
2k5/4b3/2Q5/8/8/8/1P6/4K3 b - - 0 1,Q+P vs k+b,-2,-2,5,0
8/1R6/8/1k6/R5K1/1p6/8/5q2 b - - 0 1,2R vs k+q+p,2,1,6,0
5K2/8/8/8/k7/8/6N1/8 w - - 0 1,N vs k,0,0,3,1
5Q2/8/8/Q7/4P3/4k3/1K6/8 b - - 0 1,2Q+P vs k,-2,-2,5,0
8/3K3Q/8/k7/8/8/8/8 w - - 0 1,Q vs k,2,7,3,1
8/3k2K1/8/8/8/3N4/8/6r1 w - - 0 1,N vs k+r,0,0,4,1
8/8/8/8/6K1/8/3k4/8 w - - 0 1,K vs k,0,0,2,1
8/8/2n5/8/1P2K3/8/8/6k1 w - - 0 1,P vs k+n,0,0,4,1
8/8/8/8/K7/2q5/8/2k5 b - - 0 1,K vs k+q,2,7,3,0
8/7P/8/1K4Q1/8/8/5p2/7k b - - 0 1,Q+P vs k+p,0,0,5,0
5K2/8/7B/4b3/8/6k1/8/7r w - - 0 1,B vs k+r+b,-2,-14,5,1
8/8/1p6/7Q/5n2/8/k7/7K b - - 0 1,Q vs k+n+p,2,1,5,0
8/4q3/8/8/8/6k1/3K4/4P3 b - - 0 1,P vs k+q,2,3,4,0
3Q4/k7/8/5p2/6N1/1K6/2Q5/8 w - - 0 1,2Q+N vs k+p,2,1,6,1
7p/k5K1/8/8/8/2R5/8/8 w - - 0 1,R vs k+p,2,1,4,1
8/8/4k3/7N/8/8/N6n/R6K w - - 0 1,R+2N vs k+n,2,1,6,1
8/8/k7/p7/6B1/8/7K/8 w - - 0 1,B vs k+p,0,0,4,1
8/8/8/R4N2/1k4q1/2P2K2/8/8 w - - 0 1,R+N+P vs k+q,2,1,6,1
8/6k1/8/B2K4/8/8/8/8 w - - 0 1,B vs k,0,0,3,1
1B4K1/8/7k/8/8/8/8/3r4 w - - 0 1,B vs k+r,0,0,4,1
2Q5/8/8/6K1/8/8/4k3/8 w - - 0 1,Q vs k,2,9,3,1
8/6k1/8/8/8/8/K1B5/2r5 b - - 0 1,B vs k+r,2,1,4,0
8/3k3K/8/8/8/8/8/5P2 b - - 0 1,P vs k,-2,-6,3,0
1P4R1/8/8/r3q3/8/8/K7/3k4 b - - 0 1,R+P vs k+q+r,2,1,6,0
8/1n6/6bk/8/8/8/1K6/8 w - - 0 1,K vs k+b+n,-2,-57,4,1
8/8/8/8/3B3K/5k2/8/3P4 w - - 0 1,B+P vs k,2,1,4,1
5K2/7k/8/8/1p6/7B/8/8 w - - 0 1,B vs k+p,0,0,4,1
1p6/8/8/8/8/7q/6Q1/2k3K1 w - - 0 1,Q vs k+q+p,0,0,5,1
3q4/8/8/1K6/8/7k/8/3bN3 b - - 0 1,N vs k+q+b,2,3,5,0
8/8/8/8/8/7K/4P3/1k4q1 w - - 0 1,P vs k+q,-2,-4,4,1
1K6/3R4/q6R/8/k7/5P2/8/8 w - - 0 1,2R+P vs k+q,2,1,6,1
1n4b1/8/8/8/8/8/k1K5/8 w - - 0 1,K vs k+b+n,-2,-59,4,1
8/8/8/6qk/8/R7/8/K7 b - - 0 1,R vs k+q,2,39,4,0
8/8/8/8/3k4/8/7r/2K5 b - - 0 1,K vs k+r,2,7,3,0
3r4/8/1B6/8/8/8/7q/4K2k b - - 0 1,B vs k+q+r,2,1,5,0
KR6/8/8/8/8/8/1k6/8 b - - 0 1,R vs k,-2,-26,3,0
8/8/8/8/4k3/8/8/3K4 w - - 0 1,K vs k,0,0,2,1
8/3p4/8/8/8/7K/8/4k3 w - - 0 1,K vs k+p,0,0,3,1
b7/8/5k2/3R4/K3N3/8/8/8 b - - 0 1,R+N vs k+b,0,0,5,0
8/6p1/8/8/8/8/8/2K3k1 b - - 0 1,K vs k+p,2,1,3,0
8/3Kk3/8/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/5k2/8/8/7P/8/8/2K5 w - - 0 1,P vs k,0,0,3,1
8/4k3/8/4K3/3N4/8/8/5q2 b - - 0 1,N vs k+q,2,29,4,0
8/6k1/5K1B/8/8/4bn2/8/8 b - - 0 1,B vs k+b+n,2,1,5,0
8/8/4K3/8/2k5/5p2/8/8 w - - 0 1,K vs k+p,-2,-2,3,1
8/8/8/7R/3Q3K/3k4/8/8 b - - 0 1,Q+R vs k,-2,-4,4,0
8/4K3/8/Q7/8/8/7k/8 b - - 0 1,Q vs k,-2,-14,3,0
8/8/8/8/8/5Qk1/8/4K3 b - - 0 1,Q vs k,0,0,3,0
8/4p3/4p3/p2k4/R5K1/8/8/8 w - - 0 1,R vs k+3p,2,1,6,1
8/PK6/7k/8/8/8/8/3b4 w - - 0 1,P vs k+b,0,0,4,1
3K4/1N6/8/3k4/3b4/8/8/5q2 b - - 0 1,N vs k+q+b,2,5,5,0
4p3/2K5/8/3k4/4q3/4n3/6R1/8 b - - 0 1,R vs k+q+n+p,2,1,6,0
1r6/7k/8/8/8/8/8/7K w - - 0 1,K vs k+r,-2,-18,3,1
8/8/8/3K4/8/6k1/8/6n1 w - - 0 1,K vs k+n,0,0,3,1
8/8/1R6/8/3kb3/1K6/8/8 w - - 0 1,R vs k+b,0,0,4,1
2k5/B7/8/8/2K5/8/1B6/8 w - - 0 1,2B vs k,0,0,4,1
7k/8/7K/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/k7/3K4/8/7B/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/8/1K6/8/5b2/8/8/1k6 b - - 0 1,K vs k+b,0,0,3,0
6R1/7q/8/3r1N2/7k/2K5/8/8 b - - 0 1,R+N vs k+q+r,2,1,6,0
4k3/8/8/8/7K/8/8/6N1 w - - 0 1,N vs k,0,0,3,1
8/7k/3K4/8/8/5B2/8/8 b - - 0 1,B vs k,0,0,3,0
3q4/K4k2/8/2R5/1N6/8/8/8 w - - 0 1,R+N vs k+q,0,0,5,1
7p/8/6k1/4K3/8/8/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/2q5/8/8/3K4/2B5/8/7k b - - 0 1,B vs k+q,2,21,4,0
8/8/8/7K/1k6/8/8/4P3 w - - 0 1,P vs k,2,1,3,1
8/8/6k1/8/8/5K2/2n4r/8 b - - 0 1,K vs k+r+n,2,11,4,0
8/8/8/8/8/1k4nQ/8/3K4 w - - 0 1,Q vs k+n,2,1,4,1
4p2K/4Q3/7q/8/8/8/4k3/8 b - - 0 1,Q vs k+q+p,2,3,5,0
8/8/8/6K1/5B2/3q4/1k6/8 w - - 0 1,B vs k+q,-2,-18,4,1
8/8/8/1k3K2/8/8/1PR1R3/8 w - - 0 1,2R+P vs k,2,1,5,1
7K/6P1/8/8/8/8/2k2r2/8 b - - 0 1,P vs k+r,0,0,4,0
3K4/2k1r3/4R3/8/8/8/3r4/8 w - - 0 1,R vs k+2r,0,0,5,1
6K1/8/5k2/8/2P5/8/7R/8 w - - 0 1,R+P vs k,2,1,4,1
1K6/8/5k2/8/8/8/7Q/5Q2 b - - 0 1,2Q vs k,-2,-4,4,0
8/8/1P3k2/2K5/8/8/8/8 b - - 0 1,P vs k,-2,-2,3,0
8/8/8/8/8/1k6/3pKb2/8 w - - 0 1,K vs k+b+p,0,0,4,1
6k1/3Q4/6K1/8/8/8/8/3r4 b - - 0 1,Q vs k+r,2,1,4,0
K7/8/7N/8/8/3nk3/3N4/8 b - - 0 1,2N vs k+n,0,0,5,0
8/2p5/8/8/8/8/1K1k4/7Q w - - 0 1,Q vs k+p,2,3,4,1
6Kp/8/8/8/1k6/8/1q6/1P6 b - - 0 1,P vs k+q+p,2,1,5,0
2B4k/8/1K6/1Q6/8/8/R7/8 b - - 0 1,Q+R+B vs k,-2,-4,5,0
8/8/4Q3/8/8/k7/7K/2Rp4 b - - 0 1,Q+R vs k+p,-2,-2,5,0
8/4K3/8/8/4q3/7r/p3k2Q/8 b - - 0 1,Q vs k+q+r+p,2,1,6,0
8/8/n4k2/8/8/8/1K6/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/8/2Qr3b/7K/4kN2/8/8 w - - 0 1,Q+N vs k+r+b,2,1,6,1
8/7k/4p3/8/8/8/4Q3/7K w - - 0 1,Q vs k+p,2,1,4,1
8/8/8/4K3/2k5/8/1R6/8 b - - 0 1,R vs k,-2,-24,3,0
8/Q7/8/8/7k/3N4/3P4/K7 w - - 0 1,Q+N+P vs k,2,3,5,1
8/8/8/K7/2k5/8/8/2n5 b - - 0 1,K vs k+n,0,0,3,0
8/3K4/8/6q1/2k5/8/B7/8 b - - 0 1,B vs k+q,2,11,4,0
K7/8/3n4/8/8/1k6/8/4Q3 w - - 0 1,Q vs k+n,2,3,4,1
8/8/8/3k4/8/5N2/8/4K3 w - - 0 1,N vs k,0,0,3,1
8/8/5n2/8/1K6/8/5k2/8 w - - 0 1,K vs k+n,0,0,3,1
4Q3/8/1n2k3/8/8/8/8/5K2 b - - 0 1,Q vs k+n,-2,-28,4,0
8/8/k5Q1/1RPK4/8/8/8/8 b - - 0 1,Q+R+P vs k,-2,-2,5,0
8/8/8/2N5/N7/3K4/k5B1/8 w - - 0 1,B+2N vs k,2,7,5,1
8/8/2K5/8/8/8/4k3/p7 w - - 0 1,K vs k+p,0,0,3,1
8/kN6/8/8/8/8/K7/8 b - - 0 1,N vs k,0,0,3,0
5b2/8/2K5/8/8/4k3/8/8 w - - 0 1,K vs k+b,0,0,3,1
8/4q3/1k5K/8/8/8/4R3/6q1 w - - 0 1,R vs k+2q,-2,-4,5,1
8/8/B7/8/3k4/2n3K1/8/8 b - - 0 1,B vs k+n,0,0,4,0
b7/8/8/4k3/8/3B4/8/7K w - - 0 1,B vs k+b,0,0,4,1
8/8/4N3/5K2/8/8/5k2/2B5 w - - 0 1,B+N vs k,2,48,4,1
8/8/1K6/8/8/8/k3b3/8 w - - 0 1,K vs k+b,0,0,3,1
8/8/8/p5B1/5K2/8/4k3/8 w - - 0 1,B vs k+p,0,0,4,1
8/8/8/8/5k2/2q2R2/6K1/8 b - - 0 1,R vs k+q,2,1,4,0
1B6/6P1/8/2N5/6K1/3k4/8/8 b - - 0 1,B+N+P vs k,-2,-2,5,0
8/4P3/k7/8/b7/8/4K3/8 w - - 0 1,P vs k+b,0,0,4,1
R7/8/K2q4/8/8/1R6/k7/8 w - - 0 1,2R vs k+q,0,0,5,1
6R1/2k5/2KR4/8/8/8/3b4/8 b - - 0 1,2R vs k+b,-2,-1,5,0
8/1K6/8/8/8/5k2/6b1/8 w - - 0 1,K vs k+b,0,0,3,1
6K1/8/1k6/8/8/8/8/2B5 w - - 0 1,B vs k,0,0,3,1
8/5K2/8/2B5/5p2/8/4k3/1p6 b - - 0 1,B vs k+2p,0,0,5,0
1K6/8/8/2k5/4R3/8/8/8 b - - 0 1,R vs k,-2,-30,3,0
8/1Q6/8/3Q3p/4K3/6B1/8/5k2 w - - 0 1,2Q+B vs k+p,2,1,6,1
8/B3k3/8/8/8/8/4B1K1/8 w - - 0 1,2B vs k,2,28,4,1
5b2/8/4q3/8/8/8/1K1k4/8 b - - 0 1,K vs k+q+b,2,5,4,0
q7/1K6/3k4/N7/8/8/1P6/8 w - - 0 1,N+P vs k+q,2,1,5,1
3kb3/8/3K4/8/1q6/8/8/8 w - - 0 1,K vs k+q+b,-2,-8,4,1
8/8/4K3/1b2p3/8/8/5k2/8 b - - 0 1,K vs k+b+p,2,1,4,0
8/8/8/8/8/4r3/7k/3K4 w - - 0 1,K vs k+r,-2,-20,3,1
8/8/k7/8/8/K1p5/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/8/5R2/8/2k5/8/7K/8 w - - 0 1,R vs k,2,27,3,1
4k3/8/8/8/8/1b6/5K2/8 w - - 0 1,K vs k+b,0,0,3,1
3k4/8/8/8/3K4/8/8/6N1 b - - 0 1,N vs k,0,0,3,0
7k/8/8/2b5/5B2/7n/2P1K3/8 b - - 0 1,B+P vs k+b+n,2,1,6,0
7K/8/8/1k6/8/8/6n1/8 b - - 0 1,K vs k+n,0,0,3,0
8/1Q6/1K6/8/8/2n5/8/6k1 w - - 0 1,Q vs k+n,2,3,4,1
6R1/8/8/5K2/8/8/7k/8 b - - 0 1,R vs k,-2,-8,3,0
8/8/8/8/6r1/2k5/8/4K3 w - - 0 1,K vs k+r,-2,-18,3,1
8/8/4k3/8/8/K6R/8/8 b - - 0 1,R vs k,-2,-30,3,0
8/1K6/7b/7k/8/8/8/6P1 b - - 0 1,P vs k+b,0,0,4,0
8/8/1n5k/8/5K2/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
8/6B1/8/7k/4b3/8/4K3/8 w - - 0 1,B vs k+b,0,0,4,1
8/5q2/6k1/3n4/8/7K/8/6q1 w - - 0 1,K vs k+2q+n,-2,-2,5,1
8/5b2/8/7p/8/8/2kP4/6K1 b - - 0 1,P vs k+b+p,2,1,5,0
8/8/4KB2/8/3k4/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/7n/8/8/2N5/2k5/8/5K2 b - - 0 1,N vs k+n,0,0,4,0
8/k5p1/8/8/8/3K4/8/8 b - - 0 1,K vs k+p,0,0,3,0
8/r7/8/R1k5/8/6K1/2p5/8 b - - 0 1,R vs k+r+p,2,1,5,0
R7/8/8/8/7k/N1K5/8/8 w - - 0 1,R+N vs k,2,15,4,1
7P/2n5/1k6/1p6/8/8/3K4/8 w - - 0 1,P vs k+n+p,-2,-2,5,1
4K3/8/8/5k2/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/1K6/8/8/3N4/8/8/6k1 w - - 0 1,N vs k,0,0,3,1
2r5/8/5r2/4K3/8/1k6/8/5q2 b - - 0 1,K vs k+q+2r,2,1,5,0
8/8/BQ6/N7/8/4k3/6K1/8 b - - 0 1,Q+B+N vs k,-2,-4,5,0
4q3/2N5/4k3/8/3K4/8/8/8 b - - 0 1,N vs k+q,0,0,4,0
8/5k2/8/8/3K1N2/8/5R2/8 b - - 0 1,R+N vs k,-2,-12,4,0
8/7K/6Q1/8/8/8/6k1/8 b - - 0 1,Q vs k,-2,-14,3,0
8/1K6/7k/8/6B1/8/8/3b1B2 b - - 0 1,2B vs k+b,0,0,5,0
1p6/6r1/5k2/8/8/8/1K6/4b3 w - - 0 1,K vs k+r+b+p,-2,-2,5,1
8/8/5K2/3R4/4R3/8/8/6k1 w - - 0 1,2R vs k,2,3,4,1
8/5K2/8/4qk2/n2N4/8/8/2n5 b - - 0 1,N vs k+q+2n,2,1,6,0
1p6/8/K7/8/8/4n3/8/6k1 w - - 0 1,K vs k+n+p,-2,-10,4,1
8/7k/2r5/8/8/3N2n1/7K/8 w - - 0 1,N vs k+r+n,-2,-28,5,1
6n1/8/8/6K1/8/6P1/4k3/8 w - - 0 1,P vs k+n,0,0,4,1
8/3K2k1/8/4Q3/8/8/8/8 b - - 0 1,Q vs k,-2,-8,3,0
3k4/8/8/2P4Q/6Q1/8/7K/8 b - - 0 1,2Q+P vs k,-2,-2,5,0
5Bb1/8/8/2K3k1/8/8/q7/8 w - - 0 1,B vs k+q+b,-2,-12,5,1
8/8/1b6/8/K7/3k4/8/8 b - - 0 1,K vs k+b,0,0,3,0
8/8/5K2/7k/7p/8/8/8 b - - 0 1,K vs k+p,2,1,3,0
8/4P3/8/2k5/8/8/3b4/5K2 b - - 0 1,P vs k+b,-2,-2,4,0
8/3K4/k7/3B4/8/8/3r4/8 w - - 0 1,B vs k+r,0,0,4,1
8/8/5k2/8/8/8/5q2/5K2 w - - 0 1,K vs k+q,0,0,3,1
2N5/8/8/4K3/8/8/8/5k2 b - - 0 1,N vs k,0,0,3,0
4K3/2k5/6R1/8/R7/8/8/2n5 b - - 0 1,2R vs k+n,-2,-8,5,0
K7/8/5B2/8/8/8/8/3qk3 w - - 0 1,B vs k+q,-2,-8,4,1
8/3K4/6k1/8/1B6/8/8/8 w - - 0 1,B vs k,0,0,3,1
1Q6/5K2/8/8/8/8/8/2k5 w - - 0 1,Q vs k,2,11,3,1
8/7B/1K4b1/5b2/8/8/2k5/8 b - - 0 1,B vs k+2b,0,0,5,0
8/8/4N3/8/8/8/4k1K1/8 w - - 0 1,N vs k,0,0,3,1
2K5/8/7Q/k7/5q2/8/8/8 w - - 0 1,Q vs k+q,2,1,4,1
7K/8/8/8/4k3/8/3B4/8 b - - 0 1,B vs k,0,0,3,0
7B/8/8/8/8/7k/2b5/n6K w - - 0 1,B vs k+b+n,0,0,5,1
8/8/1B6/8/8/K2k4/8/8 b - - 0 1,B vs k,0,0,3,0
8/5k2/8/8/1K2n3/8/8/2p5 w - - 0 1,K vs k+n+p,-2,-6,4,1
K6k/8/1N6/8/8/8/8/8 b - - 0 1,N vs k,0,0,3,0
8/8/7K/8/6k1/8/8/1n6 b - - 0 1,K vs k+n,0,0,3,0
6b1/8/8/6K1/8/4k3/8/8 w - - 0 1,K vs k+b,0,0,3,1
5Q2/1b6/8/8/7k/8/1RK5/8 b - - 0 1,Q+R vs k+b,-2,-6,5,0
8/5k2/1K6/8/n7/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
5k2/1K3n2/8/8/2r5/8/8/8 w - - 0 1,K vs k+r+n,-2,-14,4,1
3Q1n2/8/8/8/8/4P3/8/5k1K b - - 0 1,Q+P vs k+n,-2,-4,5,0
8/8/8/8/2k5/8/K7/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/7Q/1p6/5Q2/3k2K1 w - - 0 1,2Q vs k+p,2,1,5,1
8/8/K2k4/8/8/8/6r1/8 w - - 0 1,K vs k+r,-2,-14,3,1
1k1b4/8/P7/8/8/8/5K2/8 w - - 0 1,P vs k+b,0,0,4,1
n4k2/8/8/8/8/8/2R5/K7 w - - 0 1,R vs k+n,2,2,4,1
4k3/1Q6/2r5/8/3K4/8/8/3R4 b - - 0 1,Q+R vs k+r,-2,-4,5,0
8/8/8/2k5/8/7K/1B5P/3R4 b - - 0 1,R+B+P vs k,-2,-4,5,0
8/8/3k4/8/n3K3/8/8/8 b - - 0 1,K vs k+n,0,0,3,0
4N3/8/8/8/8/8/8/2k1K2R b - - 0 1,R+N vs k,-2,-12,4,0
5b2/8/b4K2/2k5/8/8/8/8 b - - 0 1,K vs k+2b,2,26,4,0
K7/8/8/8/8/8/8/3k4 b - - 0 1,K vs k,0,0,2,0
8/8/2k5/5K2/R7/8/3B4/8 b - - 0 1,R+B vs k,-2,-16,4,0
8/7K/4qP2/8/8/3k4/2R3B1/8 b - - 0 1,R+B+P vs k+q,2,1,6,0
7k/3Q1p2/7K/8/3q4/8/8/7q b - - 0 1,Q vs k+2q+p,2,1,6,0
8/8/4k3/8/8/8/K7/8 b - - 0 1,K vs k,0,0,2,0
5p2/4K3/8/5B2/8/2b3k1/8/8 w - - 0 1,B vs k+b+p,0,0,5,1
8/2k5/4p3/8/2N5/2K3R1/8/8 w - - 0 1,R+N vs k+p,2,5,5,1
4K3/6k1/8/8/4P3/6r1/8/8 b - - 0 1,P vs k+r,2,3,4,0
7R/1K6/8/5q2/8/8/8/1k6 w - - 0 1,R vs k+q,-2,-44,4,1
4R3/4Q3/k7/P2K4/8/8/8/8 b - - 0 1,Q+R+P vs k,-2,-2,5,0
8/8/8/3k4/8/8/8/4KN2 b - - 0 1,N vs k,0,0,3,0
8/8/3P4/8/8/1K6/7k/4q1q1 w - - 0 1,P vs k+2q,-2,-4,5,1
8/7N/2qk4/8/7K/8/8/6P1 w - - 0 1,N+P vs k+q,-2,-6,5,1
r6K/8/8/8/8/8/8/6k1 w - - 0 1,K vs k+r,-2,-26,3,1
3q4/8/1k5r/6B1/6K1/8/8/7Q w - - 0 1,Q+B vs k+q+r,2,1,6,1
8/1K6/8/8/8/7R/8/5k2 w - - 0 1,R vs k,2,19,3,1
1K6/8/3N4/7p/8/5k2/P7/8 b - - 0 1,N+P vs k+p,0,0,5,0
3K4/8/8/8/7Q/8/8/2R2k2 b - - 0 1,Q+R vs k,-2,-4,4,0
8/8/p7/5k2/8/8/3K2N1/8 b - - 0 1,N vs k+p,0,0,4,0
5k2/8/8/4b3/6n1/8/8/2K5 b - - 0 1,K vs k+b+n,2,52,4,0
5nr1/5P2/7K/8/8/1k4R1/8/8 b - - 0 1,R+P vs k+r+n,2,1,6,0
8/6k1/8/8/8/5B2/8/3K4 b - - 0 1,B vs k,0,0,3,0
8/KN3N2/8/7N/2k5/8/8/8 b - - 0 1,3N vs k,-2,-29,5,0
8/5k2/1K6/8/1b5P/8/8/8 w - - 0 1,P vs k+b,0,0,4,1
8/1r4q1/8/8/8/7b/3k4/6K1 w - - 0 1,K vs k+q+r+b,-2,-2,5,1
4Q3/6k1/8/8/2q5/8/7K/8 w - - 0 1,Q vs k+q,0,0,4,1
8/5q2/8/4k3/1K5B/8/8/8 w - - 0 1,B vs k+q,-2,-10,4,1
5K2/8/Q7/8/8/1q6/b2k4/8 b - - 0 1,Q vs k+q+b,2,1,5,0
4k3/8/8/1K6/8/2r2R2/8/1n6 w - - 0 1,R vs k+r+n,0,0,5,1
8/3pK3/8/7k/8/8/8/8 b - - 0 1,K vs k+p,2,1,3,0
3r4/8/8/8/8/8/8/k1K5 b - - 0 1,K vs k+r,2,21,3,0
5k2/8/8/8/1K6/6QP/8/8 w - - 0 1,Q+P vs k,2,1,4,1
1r6/4N3/8/8/8/5k2/8/5K2 w - - 0 1,N vs k+r,-2,-11,4,1
8/2K5/6r1/8/8/5kr1/6Q1/8 b - - 0 1,Q vs k+2r,2,1,5,0
8/8/5k2/3q4/7K/8/8/8 b - - 0 1,K vs k+q,2,3,3,0
8/8/8/8/7p/3B2k1/8/2b4K w - - 0 1,B vs k+b+p,0,0,5,1
8/8/8/R5K1/8/3Q4/8/4k3 w - - 0 1,Q+R vs k,2,1,4,1
8/3n4/8/2k4K/8/8/p7/8 b - - 0 1,K vs k+n+p,2,1,4,0
8/K7/4r1p1/5Q2/8/1k6/5R2/8 w - - 0 1,Q+R vs k+r+p,2,1,6,1
8/8/8/4K3/8/1k6/R7/B7 b - - 0 1,R+B vs k,0,0,4,0
8/8/K7/6R1/8/4k3/8/8 w - - 0 1,R vs k,2,29,3,1
K7/8/5P2/8/8/4P3/5P2/5k2 b - - 0 1,3P vs k,-2,-2,5,0
8/8/8/N7/1b6/5k2/1K2n3/8 w - - 0 1,N vs k+b+n,0,0,5,1
4n3/8/8/6Q1/6k1/2K2R2/8/8 b - - 0 1,Q+R vs k+n,0,0,5,0
8/1Q6/1K6/8/8/8/2k5/8 w - - 0 1,Q vs k,2,11,3,1
7k/8/8/8/Q7/8/8/2K5 w - - 0 1,Q vs k,2,13,3,1
4K3/8/8/k7/8/8/8/4n3 w - - 0 1,K vs k+n,0,0,3,1
3K4/6q1/8/3kB3/2q5/8/8/8 b - - 0 1,B vs k+2q,2,1,5,0
8/5k2/8/8/5K2/8/q4b2/8 b - - 0 1,K vs k+q+b,2,5,4,0
8/4Q3/6K1/1k6/8/8/8/8 w - - 0 1,Q vs k,2,13,3,1
8/3k4/P7/8/5r2/8/3K4/8 b - - 0 1,P vs k+r,2,3,4,0
8/8/6b1/8/3k1K2/8/8/8 w - - 0 1,K vs k+b,0,0,3,1
